"des","pitcher_name","pitch_type","start_speed","end_speed"
"Called Strike","Phil Hughes","FF","91.0","84.0"
"Ball","Phil Hughes","FF","92.4","85.5"
"Ball","Phil Hughes","FF","92.4","85.5"
"Foul","Phil Hughes","FF","92.2","85.3"
"Ball","Phil Hughes","FF","90.9","84.1"
"Foul","Phil Hughes","FF","93.0","86.3"
"Ball","Phil Hughes","FF","89.1","81.9"
"Foul","Phil Hughes","FC","87.0","81.1"
"Foul","Phil Hughes","FC","86.4","81.3"
"Swinging Strike","Phil Hughes","FF","90.8","84.5"
"Foul","Phil Hughes","FF","90.9","84.1"
"Swinging Strike","Phil Hughes","FF","91.1","84.9"
"Ball","Phil Hughes","FF","90.7","84.9"
"Ball","Phil Hughes","FF","92.3","85.6"
"Called Strike","Phil Hughes","FF","91.6","84.9"
"Foul","Phil Hughes","FF","91.8","85.2"
"Called Strike","Mariano Rivera","FC","92.9","85.4"
"Ball","Mariano Rivera","FC","93.5","86.0"
"In play, out(s)","Mariano Rivera","FC","93.1","85.7"
"Foul","Mariano Rivera","FC","92.7","85.8"
"Foul","Mariano Rivera","FF","93.6","87.1"
"Called Strike","Mariano Rivera","FC","93.2","85.3"
"Ball","Mariano Rivera","FC","93.2","85.5"
"Called Strike","Mariano Rivera","FC","92.7","84.9"
"Ball","Mariano Rivera","FC","93.1","84.8"
"Called Strike","Mariano Rivera","FC","92.3","83.9"
"In play, out(s)","Mariano Rivera","FC","93.2","85.6"
"Called Strike","Phil Hughes","FF","92.2","84.4"
"In play, run(s)","Phil Hughes","FF","92.6","85.0"
"Called Strike","Phil Hughes","FF","93.3","85.9"
"In play, out(s)","Phil Hughes","FF","92.6","86.4"
"Ball","Phil Hughes","FF","92.8","85.5"
"Ball","Phil Hughes","FF","92.8","85.5"
"In play, out(s)","Phil Hughes","FC","88.6","82.6"
"In play, out(s)","Phil Hughes","FC","88.6","82.6"
"Called Strike","Phil Hughes","FF","92.1","85.3"
"Ball","Phil Hughes","FC","87.3","82.0"
"Foul","Phil Hughes","FF","91.6","85.1"
